LAWD_CD,SIDO_CD,SIGUNGU_CD,SIDO_NM,SIG_NM
48125,13,13,경상남도,창원시마산합포구
48127,13,13,경상남도,창원시마산회원구
48129,13,13,경상남도,창원시진해구
48150,13,0,경상남도,마산시
48151,13,0,경상남도,마산시합포구
48153,13,0,경상남도,마산시회원구
48160,13,0,경상남도,마산시
48170,13,11,경상남도,진주시
48190,13,0,경상남도,진해시
48220,13,14,경상남도,통영시
48240,13,7,경상남도,사천시
48250,13,4,경상남도,김해시
48270,13,6,경상남도,밀양시
48310,13,1,경상남도,거제시
48330,13,9,경상남도,양산시
48720,13,10,경상남도,의령군
48730,13,16,경상남도,함안군
48740,13,12,경상남도,창녕군
48820,13,3,경상남도,고성군
48840,13,5,경상남도,남해군
48850,13,15,경상남도,하동군
48860,13,8,경상남도,산청군
48870,13,17,경상남도,함양군
48880,13,2,경상남도,거창군
48890,13,18,경상남도,합천군
49000,16,0,제주도,
49110,16,2,제주도,제주시
49130,16,1,제주도,서귀포시
49710,16,0,제주도,북제주군
49720,16,0,제주도,남제주군
50000,16,0,제주특별자치도,
50110,16,2,제주특별자치도,제주시
50130,16,1,제주특별자치도,서귀포시
